Run Number,C=0,C=1,C=2,C=3,C=4,Residual Utility
0,0.0,0.0,0.0,0.0,1.0,5.0
1,0.0,0.0,0.0,0.2,0.8,35.0
2,0.0,0.0,0.0,0.4,0.6,65.0
3,0.0,0.0,0.0,0.6,0.4,95.0
4,0.0,0.0,0.0,0.8,0.2,124.99999999999999
5,0.0,0.0,0.0,1.0,0.0,155.0
6,0.0,0.0,0.2,0.0,0.8,35.0
7,0.0,0.0,0.2,0.2,0.6,65.0
8,0.0,0.0,0.2,0.4,0.4,95.0
9,0.0,0.0,0.2,0.6,0.2,124.99999999999999
10,0.0,0.0,0.2,0.8,0.0,155.0
11,0.0,0.0,0.4,0.0,0.6,65.0
12,0.0,0.0,0.4,0.2,0.4,95.0
13,0.0,0.0,0.4,0.4,0.2,124.99999999999999
14,0.0,0.0,0.4,0.6,0.0,155.0
15,0.0,0.0,0.6,0.0,0.4,95.0
16,0.0,0.0,0.6,0.2,0.2,124.99999999999999
17,0.0,0.0,0.6,0.4,0.0,155.0
18,0.0,0.0,0.8,0.0,0.2,124.99999999999999
19,0.0,0.0,0.8,0.2,0.0,155.0
20,0.0,0.0,1.0,0.0,0.0,155.0
21,0.0,0.2,0.0,0.0,0.8,39.0
22,0.0,0.2,0.0,0.2,0.6,69.0
23,0.0,0.2,0.0,0.4,0.4,99.0
24,0.0,0.2,0.0,0.6,0.2,129.0
25,0.0,0.2,0.0,0.8,0.0,159.0
26,0.0,0.2,0.2,0.0,0.6,69.0
27,0.0,0.2,0.2,0.2,0.4,99.0
28,0.0,0.2,0.2,0.4,0.2,129.0
29,0.0,0.2,0.2,0.6,0.0,159.0
30,0.0,0.2,0.4,0.0,0.4,99.0
31,0.0,0.2,0.4,0.2,0.2,129.0
32,0.0,0.2,0.4,0.4,0.0,159.0
33,0.0,0.2,0.6,0.0,0.2,129.0
34,0.0,0.2,0.6,0.2,0.0,159.0
35,0.0,0.2,0.8,0.0,0.0,159.0
36,0.0,0.4,0.0,0.0,0.6,73.0
37,0.0,0.4,0.0,0.2,0.4,103.0
38,0.0,0.4,0.0,0.4,0.2,133.0
39,0.0,0.4,0.0,0.6,0.0,162.99999999999997
40,0.0,0.4,0.2,0.0,0.4,103.0
41,0.0,0.4,0.2,0.2,0.2,133.0
42,0.0,0.4,0.2,0.4,0.0,162.99999999999997
43,0.0,0.4,0.4,0.0,0.2,133.0
44,0.0,0.4,0.4,0.2,0.0,162.99999999999997
45,0.0,0.4,0.6,0.0,0.0,162.99999999999997
46,0.0,0.6,0.0,0.0,0.4,106.99999999999999
47,0.0,0.6,0.0,0.2,0.2,137.0
48,0.0,0.6,0.0,0.4,0.0,167.0
49,0.0,0.6,0.2,0.0,0.2,137.0
50,0.0,0.6,0.2,0.2,0.0,167.0
51,0.0,0.6,0.4,0.0,0.0,167.0
52,0.0,0.8,0.0,0.0,0.2,141.0
53,0.0,0.8,0.0,0.2,0.0,171.00000000000003
54,0.0,0.8,0.2,0.0,0.0,171.00000000000003
55,0.0,1.0,0.0,0.0,0.0,175.0
56,0.2,0.0,0.0,0.0,0.8,39.0
57,0.2,0.0,0.0,0.2,0.6,69.0
58,0.2,0.0,0.0,0.4,0.4,99.0
59,0.2,0.0,0.0,0.6,0.2,129.0
60,0.2,0.0,0.0,0.8,0.0,159.0
61,0.2,0.0,0.2,0.0,0.6,69.0
62,0.2,0.0,0.2,0.2,0.4,99.0
63,0.2,0.0,0.2,0.4,0.2,129.0
64,0.2,0.0,0.2,0.6,0.0,159.0
65,0.2,0.0,0.4,0.0,0.4,99.0
66,0.2,0.0,0.4,0.2,0.2,129.0
67,0.2,0.0,0.4,0.4,0.0,159.0
68,0.2,0.0,0.6,0.0,0.2,129.0
69,0.2,0.0,0.6,0.2,0.0,159.0
70,0.2,0.0,0.8,0.0,0.0,159.0
71,0.2,0.2,0.0,0.0,0.6,73.0
72,0.2,0.2,0.0,0.2,0.4,103.0
73,0.2,0.2,0.0,0.4,0.2,133.0
74,0.2,0.2,0.0,0.6,0.0,162.99999999999997
75,0.2,0.2,0.2,0.0,0.4,103.0
76,0.2,0.2,0.2,0.2,0.2,133.0
77,0.2,0.2,0.2,0.4,0.0,162.99999999999997
78,0.2,0.2,0.4,0.0,0.2,133.0
79,0.2,0.2,0.4,0.2,0.0,162.99999999999997
80,0.2,0.2,0.6,0.0,0.0,162.99999999999997
81,0.2,0.4,0.0,0.0,0.4,106.99999999999999
82,0.2,0.4,0.0,0.2,0.2,137.0
83,0.2,0.4,0.0,0.4,0.0,167.0
84,0.2,0.4,0.2,0.0,0.2,137.0
85,0.2,0.4,0.2,0.2,0.0,167.0
86,0.2,0.4,0.4,0.0,0.0,167.0
87,0.2,0.6,0.0,0.0,0.2,141.0
88,0.2,0.6,0.0,0.2,0.0,171.00000000000003
89,0.2,0.6,0.2,0.0,0.0,171.00000000000003
90,0.2,0.8,0.0,0.0,0.0,175.0
91,0.4,0.0,0.0,0.0,0.6,73.0
92,0.4,0.0,0.0,0.2,0.4,103.0
93,0.4,0.0,0.0,0.4,0.2,133.0
94,0.4,0.0,0.0,0.6,0.0,162.99999999999997
95,0.4,0.0,0.2,0.0,0.4,103.0
96,0.4,0.0,0.2,0.2,0.2,133.0
97,0.4,0.0,0.2,0.4,0.0,162.99999999999997
98,0.4,0.0,0.4,0.0,0.2,133.0
99,0.4,0.0,0.4,0.2,0.0,162.99999999999997
100,0.4,0.0,0.6,0.0,0.0,162.99999999999997
101,0.4,0.2,0.0,0.0,0.4,106.99999999999999
102,0.4,0.2,0.0,0.2,0.2,137.0
103,0.4,0.2,0.0,0.4,0.0,167.0
104,0.4,0.2,0.2,0.0,0.2,137.0
105,0.4,0.2,0.2,0.2,0.0,167.0
106,0.4,0.2,0.4,0.0,0.0,167.0
107,0.4,0.4,0.0,0.0,0.2,141.0
108,0.4,0.4,0.0,0.2,0.0,171.00000000000003
109,0.4,0.4,0.2,0.0,0.0,171.00000000000003
110,0.4,0.6,0.0,0.0,0.0,175.0
111,0.6,0.0,0.0,0.0,0.4,106.99999999999999
112,0.6,0.0,0.0,0.2,0.2,137.0
113,0.6,0.0,0.0,0.4,0.0,167.0
114,0.6,0.0,0.2,0.0,0.2,137.0
115,0.6,0.0,0.2,0.2,0.0,167.0
116,0.6,0.0,0.4,0.0,0.0,167.0
117,0.6,0.2,0.0,0.0,0.2,141.0
118,0.6,0.2,0.0,0.2,0.0,171.00000000000003
119,0.6,0.2,0.2,0.0,0.0,171.00000000000003
120,0.6,0.4,0.0,0.0,0.0,175.0
121,0.8,0.0,0.0,0.0,0.2,141.0
122,0.8,0.0,0.0,0.2,0.0,171.00000000000003
123,0.8,0.0,0.2,0.0,0.0,171.00000000000003
124,0.8,0.2,0.0,0.0,0.0,175.0
125,1.0,0.0,0.0,0.0,0.0,175.0
