Run,P0,P1,P2,P3,P4,RU
1,0,0,0,0,1,5
2,0,0,0,0.2,0.8,39
3,0,0,0,0.4,0.6,73
4,0,0,0,0.6,0.4,107
5,0,0,0,0.8,0.2,141
6,0,0,0,1,0,175
7,0,0,0.2,0,0.8,8
8,0,0,0.2,0.2,0.6,42
9,0,0,0.2,0.4,0.4,76
10,0,0,0.2,0.6,0.2,110
11,0,0,0.2,0.8,0,144
12,0,0,0.4,0,0.6,11
13,0,0,0.4,0.2,0.4,45
14,0,0,0.4,0.4,0.2,79
15,0,0,0.4,0.6,0,113
16,0,0,0.6,0,0.4,14
17,0,0,0.6,0.2,0.2,48
18,0,0,0.6,0.4,0,82
19,0,0,0.8,0,0.2,17
20,0,0,0.8,0.2,0,51
21,0,0,1,0,0,20
22,0,0.2,0,0,0.8,39
23,0,0.2,0,0.2,0.6,73
24,0,0.2,0,0.4,0.4,107
25,0,0.2,0,0.6,0.2,141
26,0,0.2,0,0.8,0,175
27,0,0.2,0.2,0,0.6,42
28,0,0.2,0.2,0.2,0.4,76
29,0,0.2,0.2,0.4,0.2,110
30,0,0.2,0.2,0.6,0,144
31,0,0.2,0.4,0,0.4,45
32,0,0.2,0.4,0.2,0.2,79
33,0,0.2,0.4,0.4,0,113
34,0,0.2,0.6,0,0.2,48
35,0,0.2,0.6,0.2,0,82
36,0,0.2,0.8,0,0,51
37,0,0.4,0,0,0.6,73
38,0,0.4,0,0.2,0.4,107
39,0,0.4,0,0.4,0.2,141
40,0,0.4,0,0.6,0,175
41,0,0.4,0.2,0,0.4,76
42,0,0.4,0.2,0.2,0.2,110
43,0,0.4,0.2,0.4,0,144
44,0,0.4,0.4,0,0.2,79
45,0,0.4,0.4,0.2,0,113
46,0,0.4,0.6,0,0,82
47,0,0.6,0,0,0.4,107
48,0,0.6,0,0.2,0.2,141
49,0,0.6,0,0.4,0,175
50,0,0.6,0.2,0,0.2,110
51,0,0.6,0.2,0.2,0,144
52,0,0.6,0.4,0,0,113
53,0,0.8,0,0,0.2,141
54,0,0.8,0,0.2,0,175
55,0,0.8,0.2,0,0,144
56,0,1,0,0,0,175
57,0.2,0,0,0,0.8,39
58,0.2,0,0,0.2,0.6,73
59,0.2,0,0,0.4,0.4,107
60,0.2,0,0,0.6,0.2,141
61,0.2,0,0,0.8,0,175
62,0.2,0,0.2,0,0.6,42
63,0.2,0,0.2,0.2,0.4,76
64,0.2,0,0.2,0.4,0.2,110
65,0.2,0,0.2,0.6,0,144
66,0.2,0,0.4,0,0.4,45
67,0.2,0,0.4,0.2,0.2,79
68,0.2,0,0.4,0.4,0,113
69,0.2,0,0.6,0,0.2,48
70,0.2,0,0.6,0.2,0,82
71,0.2,0,0.8,0,0,51
72,0.2,0.2,0,0,0.6,73
73,0.2,0.2,0,0.2,0.4,107
74,0.2,0.2,0,0.4,0.2,141
75,0.2,0.2,0,0.6,0,175
76,0.2,0.2,0.2,0,0.4,76
77,0.2,0.2,0.2,0.2,0.2,110
78,0.2,0.2,0.2,0.4,0,144
79,0.2,0.2,0.4,0,0.2,79
80,0.2,0.2,0.4,0.2,0,113
81,0.2,0.2,0.6,0,0,82
82,0.2,0.4,0,0,0.4,107
83,0.2,0.4,0,0.2,0.2,141
84,0.2,0.4,0,0.4,0,175
85,0.2,0.4,0.2,0,0.2,110
86,0.2,0.4,0.2,0.2,0,144
87,0.2,0.4,0.4,0,0,113
88,0.2,0.6,0,0,0.2,141
89,0.2,0.6,0,0.2,0,175
90,0.2,0.6,0.2,0,0,144
91,0.2,0.8,0,0,0,175
92,0.4,0,0,0,0.6,73
93,0.4,0,0,0.2,0.4,107
94,0.4,0,0,0.4,0.2,141
95,0.4,0,0,0.6,0,175
96,0.4,0,0.2,0,0.4,76
97,0.4,0,0.2,0.2,0.2,110
98,0.4,0,0.2,0.4,0,144
99,0.4,0,0.4,0,0.2,79
100,0.4,0,0.4,0.2,0,113
101,0.4,0,0.6,0,0,82
102,0.4,0.2,0,0,0.4,107
103,0.4,0.2,0,0.2,0.2,141
104,0.4,0.2,0,0.4,0,175
105,0.4,0.2,0.2,0,0.2,110
106,0.4,0.2,0.2,0.2,0,144
107,0.4,0.2,0.4,0,0,113
108,0.4,0.4,0,0,0.2,141
109,0.4,0.4,0,0.2,0,175
110,0.4,0.4,0.2,0,0,144
111,0.4,0.6,0,0,0,175
112,0.6,0,0,0,0.4,107
113,0.6,0,0,0.2,0.2,141
114,0.6,0,0,0.4,0,175
115,0.6,0,0.2,0,0.2,110
116,0.6,0,0.2,0.2,0,144
117,0.6,0,0.4,0,0,113
118,0.6,0.2,0,0,0.2,141
119,0.6,0.2,0,0.2,0,175
120,0.6,0.2,0.2,0,0,144
121,0.6,0.4,0,0,0,175
122,0.8,0,0,0,0.2,141
123,0.8,0,0,0.2,0,175
124,0.8,0,0.2,0,0,144
125,0.8,0.2,0,0,0,175
126,1,0,0,0,0,175
