Run Number,C=0,C=1,C=2,C=3,C=4,Residual Utility
0,0.0,0.0,0.0,0.0,1.0,5.0
1,0.0,0.0,0.0,0.2,0.8,5.0
2,0.0,0.0,0.0,0.4,0.6,5.0
3,0.0,0.0,0.0,0.6,0.4,5.0
4,0.0,0.0,0.0,0.8,0.2,5.0
5,0.0,0.0,0.0,1.0,0.0,5.0
6,0.0,0.0,0.2,0.0,0.8,39.0
7,0.0,0.0,0.2,0.2,0.6,39.0
8,0.0,0.0,0.2,0.4,0.4,39.0
9,0.0,0.0,0.2,0.6,0.2,39.0
10,0.0,0.0,0.2,0.8,0.0,39.0
11,0.0,0.0,0.4,0.0,0.6,73.0
12,0.0,0.0,0.4,0.2,0.4,73.0
13,0.0,0.0,0.4,0.4,0.2,73.0
14,0.0,0.0,0.4,0.6,0.0,73.0
15,0.0,0.0,0.6,0.0,0.4,107.0
16,0.0,0.0,0.6,0.2,0.2,107.0
17,0.0,0.0,0.6,0.4,0.0,107.0
18,0.0,0.0,0.8,0.0,0.2,141.0
19,0.0,0.0,0.8,0.2,0.0,141.0
20,0.0,0.0,1.0,0.0,0.0,175.0
21,0.0,0.2,0.0,0.0,0.8,39.0
22,0.0,0.2,0.0,0.2,0.6,39.0
23,0.0,0.2,0.0,0.4,0.4,39.0
24,0.0,0.2,0.0,0.6,0.2,39.0
25,0.0,0.2,0.0,0.8,0.0,39.0
26,0.0,0.2,0.2,0.0,0.6,73.0
27,0.0,0.2,0.2,0.2,0.4,73.0
28,0.0,0.2,0.2,0.4,0.2,73.0
29,0.0,0.2,0.2,0.6,0.0,73.0
30,0.0,0.2,0.4,0.0,0.4,107.0
31,0.0,0.2,0.4,0.2,0.2,107.0
32,0.0,0.2,0.4,0.4,0.0,107.0
33,0.0,0.2,0.6,0.0,0.2,141.0
34,0.0,0.2,0.6,0.2,0.0,141.0
35,0.0,0.2,0.8,0.0,0.0,175.0
36,0.0,0.4,0.0,0.0,0.6,73.0
37,0.0,0.4,0.0,0.2,0.4,73.0
38,0.0,0.4,0.0,0.4,0.2,73.0
39,0.0,0.4,0.0,0.6,0.0,73.0
40,0.0,0.4,0.2,0.0,0.4,107.0
41,0.0,0.4,0.2,0.2,0.2,107.0
42,0.0,0.4,0.2,0.4,0.0,107.0
43,0.0,0.4,0.4,0.0,0.2,141.0
44,0.0,0.4,0.4,0.2,0.0,141.0
45,0.0,0.4,0.6,0.0,0.0,175.0
46,0.0,0.6,0.0,0.0,0.4,107.0
47,0.0,0.6,0.0,0.2,0.2,107.0
48,0.0,0.6,0.0,0.4,0.0,107.0
49,0.0,0.6,0.2,0.0,0.2,141.0
50,0.0,0.6,0.2,0.2,0.0,141.0
51,0.0,0.6,0.4,0.0,0.0,175.0
52,0.0,0.8,0.0,0.0,0.2,141.0
53,0.0,0.8,0.0,0.2,0.0,141.0
54,0.0,0.8,0.2,0.0,0.0,175.0
55,0.0,1.0,0.0,0.0,0.0,175.0
56,0.2,0.0,0.0,0.0,0.8,40.0
57,0.2,0.0,0.0,0.2,0.6,40.0
58,0.2,0.0,0.0,0.4,0.4,40.0
59,0.2,0.0,0.0,0.6,0.2,40.0
60,0.2,0.0,0.0,0.8,0.0,40.0
61,0.2,0.0,0.2,0.0,0.6,74.0
62,0.2,0.0,0.2,0.2,0.4,74.0
63,0.2,0.0,0.2,0.4,0.2,74.0
64,0.2,0.0,0.2,0.6,0.0,74.0
65,0.2,0.0,0.4,0.0,0.4,108.0
66,0.2,0.0,0.4,0.2,0.2,108.0
67,0.2,0.0,0.4,0.4,0.0,108.0
68,0.2,0.0,0.6,0.0,0.2,142.0
69,0.2,0.0,0.6,0.2,0.0,142.0
70,0.2,0.0,0.8,0.0,0.0,176.0
71,0.2,0.2,0.0,0.0,0.6,74.0
72,0.2,0.2,0.0,0.2,0.4,74.0
73,0.2,0.2,0.0,0.4,0.2,74.0
74,0.2,0.2,0.0,0.6,0.0,74.0
75,0.2,0.2,0.2,0.0,0.4,108.0
76,0.2,0.2,0.2,0.2,0.2,108.0
77,0.2,0.2,0.2,0.4,0.0,108.0
78,0.2,0.2,0.4,0.0,0.2,142.0
79,0.2,0.2,0.4,0.2,0.0,142.0
80,0.2,0.2,0.6,0.0,0.0,176.0
81,0.2,0.4,0.0,0.0,0.4,108.0
82,0.2,0.4,0.0,0.2,0.2,108.0
83,0.2,0.4,0.0,0.4,0.0,108.0
84,0.2,0.4,0.2,0.0,0.2,142.0
85,0.2,0.4,0.2,0.2,0.0,142.0
86,0.2,0.4,0.4,0.0,0.0,176.0
87,0.2,0.6,0.0,0.0,0.2,142.0
88,0.2,0.6,0.0,0.2,0.0,142.0
89,0.2,0.6,0.2,0.0,0.0,176.0
90,0.2,0.8,0.0,0.0,0.0,176.0
91,0.4,0.0,0.0,0.0,0.6,75.0
92,0.4,0.0,0.0,0.2,0.4,75.0
93,0.4,0.0,0.0,0.4,0.2,75.0
94,0.4,0.0,0.0,0.6,0.0,75.0
95,0.4,0.0,0.2,0.0,0.4,109.0
96,0.4,0.0,0.2,0.2,0.2,109.0
97,0.4,0.0,0.2,0.4,0.0,109.0
98,0.4,0.0,0.4,0.0,0.2,143.0
99,0.4,0.0,0.4,0.2,0.0,143.0
100,0.4,0.0,0.6,0.0,0.0,177.0
101,0.4,0.2,0.0,0.0,0.4,109.0
102,0.4,0.2,0.0,0.2,0.2,109.0
103,0.4,0.2,0.0,0.4,0.0,109.0
104,0.4,0.2,0.2,0.0,0.2,143.0
105,0.4,0.2,0.2,0.2,0.0,143.0
106,0.4,0.2,0.4,0.0,0.0,177.0
107,0.4,0.4,0.0,0.0,0.2,143.0
108,0.4,0.4,0.0,0.2,0.0,143.0
109,0.4,0.4,0.2,0.0,0.0,177.0
110,0.4,0.6,0.0,0.0,0.0,177.0
111,0.6,0.0,0.0,0.0,0.4,110.0
112,0.6,0.0,0.0,0.2,0.2,110.0
113,0.6,0.0,0.0,0.4,0.0,110.0
114,0.6,0.0,0.2,0.0,0.2,144.0
115,0.6,0.0,0.2,0.2,0.0,144.0
116,0.6,0.0,0.4,0.0,0.0,178.0
117,0.6,0.2,0.0,0.0,0.2,144.0
118,0.6,0.2,0.0,0.2,0.0,144.0
119,0.6,0.2,0.2,0.0,0.0,178.0
120,0.6,0.4,0.0,0.0,0.0,178.0
121,0.8,0.0,0.0,0.0,0.2,145.0
122,0.8,0.0,0.0,0.2,0.0,145.0
123,0.8,0.0,0.2,0.0,0.0,179.0
124,0.8,0.2,0.0,0.0,0.0,179.0
125,1.0,0.0,0.0,0.0,0.0,180.0
